,abscissa_spec_data_type,excitation_type,field_type,func_type,measurement_id,model_id,orddenom_spec_data_type,ordinate_spec_data_type,ref_dir,ref_node,rsp_dir,rsp_node,uffid,zero_padding
0,18.0,impulse,,4.0,0.0,0.0,13.0,12.0,3.0,1.0,3.0,1.0,,0.0
1,18.0,impulse,,4.0,1.0,0.0,13.0,12.0,3.0,1.0,3.0,2.0,,0.0
2,18.0,impulse,,4.0,2.0,0.0,13.0,12.0,3.0,1.0,3.0,3.0,,0.0
3,18.0,impulse,,4.0,3.0,0.0,13.0,12.0,3.0,1.0,3.0,4.0,,0.0
4,18.0,impulse,,4.0,4.0,0.0,13.0,12.0,3.0,1.0,3.0,5.0,,0.0
5,18.0,impulse,,4.0,5.0,0.0,13.0,12.0,3.0,1.0,3.0,6.0,,0.0
6,18.0,impulse,,4.0,6.0,0.0,13.0,12.0,3.0,1.0,3.0,7.0,,0.0
7,18.0,impulse,,4.0,7.0,0.0,13.0,12.0,3.0,1.0,3.0,8.0,,0.0
8,18.0,impulse,,4.0,8.0,0.0,13.0,12.0,3.0,1.0,3.0,9.0,,0.0
9,18.0,impulse,,4.0,9.0,0.0,13.0,12.0,3.0,1.0,3.0,10.0,,0.0
10,18.0,impulse,,4.0,10.0,0.0,13.0,12.0,3.0,1.0,3.0,11.0,,0.0
11,18.0,impulse,,4.0,11.0,0.0,13.0,12.0,3.0,1.0,3.0,12.0,,0.0
12,18.0,impulse,,4.0,12.0,0.0,13.0,12.0,3.0,1.0,3.0,13.0,,0.0
13,18.0,impulse,,4.0,13.0,0.0,13.0,12.0,3.0,1.0,3.0,14.0,,0.0
14,18.0,impulse,,4.0,14.0,0.0,13.0,12.0,3.0,1.0,3.0,15.0,,0.0
15,18.0,impulse,,4.0,15.0,0.0,13.0,12.0,3.0,1.0,3.0,16.0,,0.0
16,18.0,impulse,,4.0,16.0,0.0,13.0,12.0,3.0,1.0,3.0,17.0,,0.0
17,18.0,impulse,,4.0,17.0,0.0,13.0,12.0,3.0,1.0,3.0,18.0,,0.0
